grid,phi_e[V],distance[m],distance[Rj],,
1,0.00000000000000E+00,1.82098302193330E+06,2.54711439312552E-02,,
2,-1.32982582158078E-01,9.88220771638443E+06,1.38228161422039E-01,,
3,-3.36699492494022E-01,1.79434324108356E+07,2.50985178912823E-01,,
4,-6.60238043189195E-01,2.60046571052867E+07,3.63742196403607E-01,,
5,-1.10209226910886E+00,3.40658817997378E+07,4.76499213894391E-01,,
6,-1.65468340455163E+00,4.21271064941889E+07,5.89256231385175E-01,,
7,-2.30841783851216E+00,5.01883311886401E+07,7.02013248875959E-01,,
8,-3.05177696086472E+00,5.82495558830912E+07,8.14770266366743E-01,,
9,-3.87093335342145E+00,6.63107805775423E+07,9.27527283857527E-01,,
10,-4.75573191418524E+00,7.43720052719935E+07,1.04028430134831E+00,,
11,-5.69014257172830E+00,8.24332299664446E+07,1.15304131883910E+00,,
12,-6.65823411212354E+00,9.04944546608957E+07,1.26579833632988E+00,,
13,-7.64555943777025E+00,9.85556793553468E+07,1.37855535382066E+00,,
14,-8.62973857877493E+00,1.06616904049798E+08,1.49131237131145E+00,,
15,-9.60523594997404E+00,1.14678128744249E+08,1.60406938880223E+00,,
16,-1.05668143897804E+01,1.22739353438700E+08,1.71682640629301E+00,,
17,-1.14872376977701E+01,1.30800578133151E+08,1.82958342378380E+00,,
18,-1.23081027479322E+01,1.38861802827602E+08,1.94234044127458E+00,,
19,-1.31291296378942E+01,1.46923027522054E+08,2.05509745876537E+00,,
20,-1.38697063513212E+01,1.54984252216505E+08,2.16785447625615E+00,,
21,-1.44547920889762E+01,1.63045476910956E+08,2.28061149374693E+00,,
22,-1.50614048932712E+01,1.71106701605407E+08,2.39336851123772E+00,,
23,-1.54692752159676E+01,1.79167926299858E+08,2.50612552872850E+00,,
24,-1.59437175864305E+01,1.87229150994309E+08,2.61888254621929E+00,,
25,-1.62357346275536E+01,1.95290375688760E+08,2.73163956371007E+00,,
26,-1.65878379770166E+01,2.03351600383211E+08,2.84439658120085E+00,,
27,-1.68246922262079E+01,2.11412825077663E+08,2.95715359869164E+00,,
28,-1.70307698754185E+01,2.19474049772114E+08,3.06991061618242E+00,,
29,-1.72295756476035E+01,2.27535274466565E+08,3.18266763367321E+00,,
30,-1.74276554417088E+01,2.35596499161016E+08,3.29542465116399E+00,,
31,-1.76252927323183E+01,2.43657723855467E+08,3.40818166865477E+00,,
32,-1.78202610136662E+01,2.51718948549918E+08,3.52093868614556E+00,,
33,-1.79971588274365E+01,2.59780173244369E+08,3.63369570363634E+00,,
34,-1.81796754702920E+01,2.67841397938820E+08,3.74645272112713E+00,,
35,-1.83708413312435E+01,2.75902622633272E+08,3.85920973861791E+00,,
36,-1.85606194882988E+01,2.83963847327723E+08,3.97196675610869E+00,,
37,-1.87329639963562E+01,2.92025072022174E+08,4.08472377359948E+00,,
38,-1.88875718060812E+01,3.00086296716625E+08,4.19748079109026E+00,,
39,-1.90235068721929E+01,3.08147521411076E+08,4.31023780858105E+00,,
40,-1.91406938005042E+01,3.16208746105527E+08,4.42299482607183E+00,,
41,-1.92382160942608E+01,3.24269970799978E+08,4.53575184356262E+00,,
42,-1.93138322380397E+01,3.32331195494430E+08,4.64850886105340E+00,,
43,-1.93675525640825E+01,3.40392420188881E+08,4.76126587854418E+00,,
44,-1.93962291982095E+01,3.48453644883332E+08,4.87402289603497E+00,,
45,-1.93972851465897E+01,3.56514869577783E+08,4.98677991352575E+00,,
46,-1.93647054607518E+01,3.64576094272234E+08,5.09953693101654E+00,,
47,-1.92984775941497E+01,3.72637318966685E+08,5.21229394850732E+00,,
48,-1.91976888835470E+01,3.80698543661137E+08,5.32505096599811E+00,,
49,-1.90380831681423E+01,3.88759768355588E+08,5.43780798348889E+00,,
50,-1.88239679333318E+01,3.96820993050039E+08,5.55056500097967E+00,,
51,-1.85457695699553E+01,4.04882217744490E+08,5.66332201847046E+00,,
52,-1.81644499460285E+01,4.12943442438941E+08,5.77607903596124E+00,,
53,-1.76443651768028E+01,4.21004667133392E+08,5.88883605345203E+00,,
54,-1.68968032656931E+01,4.29065891827843E+08,6.00159307094281E+00,,
55,-1.58287363521517E+01,4.37127116522295E+08,6.11435008843360E+00,,
56,2.21962819147382E+04,4.45188341216746E+08,6.22710710592438E+00,,
57,2.21985737738073E+04,4.53249565911197E+08,6.33986412341516E+00,,
58,2.22015274280934E+04,4.61310790605648E+08,6.45262114090595E+00,,
59,2.22053979170076E+04,4.69372015300099E+08,6.56537815839673E+00,,
60,2.22105775079245E+04,4.77433239994550E+08,6.67813517588752E+00,,
61,2.22176944950081E+04,4.85494464689002E+08,6.79089219337830E+00,,
62,2.22278079241718E+04,4.93555689383453E+08,6.90364921086909E+00,,
63,2.22428294383860E+04,5.01616914077904E+08,7.01640622835987E+00,,
64,2.22440018839407E+04,5.02120740621307E+08,7.02345354195305E+00,,
65,2.22452083361265E+04,5.02624567164710E+08,7.03050085554622E+00,,
66,2.22464501263580E+04,5.03128393708113E+08,7.03754816913939E+00,,
67,2.22477286766177E+04,5.03632220251517E+08,7.04459548273257E+00,,
68,2.22490455649450E+04,5.04136046794920E+08,7.05164279632574E+00,,
69,2.22504022808596E+04,5.04639873338323E+08,7.05869010991892E+00,,
70,2.22518005290852E+04,5.05143699881726E+08,7.06573742351209E+00,,
71,2.22532421560723E+04,5.05647526425130E+08,7.07278473710526E+00,,
72,2.22547289861691E+04,5.06151352968533E+08,7.07983205069844E+00,,
73,2.22562630409601E+04,5.06655179511936E+08,7.08687936429161E+00,,
74,2.22578464464112E+04,5.07159006055339E+08,7.09392667788479E+00,,
75,2.99997100762883E+04,5.07662832598742E+08,7.10097399147796E+00,,
76,2.99997961274347E+04,5.08166659142146E+08,7.10802130507113E+00,,
77,2.99998659754254E+04,5.08670485685549E+08,7.11506861866431E+00,,
78,2.99999331626327E+04,5.09174312228952E+08,7.12211593225748E+00,,
79,3.00000000000000E+04,5.09678138772355E+08,7.12916324585066E+00,,
