grid,phi_e[V],distance[m],distance[Rj]
1,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2,0.00000000000000E+00,7.54293795405757E+06,1.05507440749420E-01
3,0.00000000000000E+00,1.50907742706220E+07,2.11083397731522E-01
4,0.00000000000000E+00,2.26483627800103E+07,3.16795764281462E-01
5,0.00000000000000E+00,3.02204688715893E+07,4.22711196659617E-01
6,0.00000000000000E+00,3.78117268107226E+07,5.28894517019003E-01
7,0.00000000000000E+00,4.54265988427487E+07,6.35408141368946E-01
8,0.00000000000000E+00,5.30693365871187E+07,7.42311539572522E-01
9,0.00000000000000E+00,6.07439451529158E+07,8.49660733409554E-01
10,0.00000000000000E+00,6.84541503254955E+07,9.57507837597151E-01
11,0.00000000000000E+00,7.62033690873649E+07,1.06590064744817E+00
12,0.00000000000000E+00,8.39946836489367E+07,1.17488227562436E+00
13,0.00000000000000E+00,9.18308190803745E+07,1.28449083925998E+00
14,0.00000000000000E+00,9.97141245576240E+07,1.39475919763923E+00
15,0.00000000000000E+00,1.07646558166380E+08,1.50571473964051E+00
16,0.00000000000000E+00,1.15629675148782E+08,1.61737921933618E+00
17,0.00000000000000E+00,1.23664619429908E+08,1.72976863746864E+00
18,0.00000000000000E+00,1.31752118224688E+08,1.84289316601421E+00
19,0.00000000000000E+00,1.39892479500295E+08,1.95675711268806E+00
20,0.00000000000000E+00,1.48085592053319E+08,2.07135892202371E+00
21,0.00000000000000E+00,1.56330927954023E+08,2.18669120956224E+00
22,0.00000000000000E+00,1.64627547110195E+08,2.30274082568952E+00
23,0.00000000000000E+00,1.72974103709236E+08,2.41948894574549E+00
24,0.00000000000000E+00,1.81368854307732E+08,2.53691118317758E+00
25,0.00000000000000E+00,1.89809667351589E+08,2.65497772270449E+00
26,0.00000000000000E+00,1.98294033925794E+08,2.77365347067915E+00
27,0.00000000000000E+00,2.06819079549987E+08,2.89289822008039E+00
28,0.00000000000000E+00,2.15381576853649E+08,3.01266682780800E+00
29,0.00000000000000E+00,2.23977958982030E+08,3.13290940219927E+00
30,0.00000000000000E+00,2.32604333600750E+08,3.25357149891946E+00
31,0.00000000000000E+00,2.41256497382782E+08,3.37459432359959E+00
32,0.00000000000000E+00,2.49929950876145E+08,3.49591493979948E+00
33,0.00000000000000E+00,2.58619913664031E+08,3.61746648106125E+00
34,0.00000000000000E+00,2.67321339741087E+08,3.73917836598622E+00
35,0.00000000000000E+00,2.76028933040294E+08,3.86097651541842E+00
36,0.00000000000000E+00,2.84737163054326E+08,3.98278357094955E+00
37,0.00000000000000E+00,2.93440280503487E+08,4.10451911407551E+00
38,0.00000000000000E+00,3.02132333009452E+08,4.22609988543407E+00
39,0.00000000000000E+00,3.10807180740126E+08,4.34744000363853E+00
40,0.00000000000000E+00,3.19458511996115E+08,4.46845118329484E+00
41,0.00000000000000E+00,3.28079858713700E+08,4.58904295185056E+00
42,0.00000000000000E+00,3.36664611862816E+08,4.70912286497532E+00
43,0.00000000000000E+00,3.45206036721594E+08,4.82859672021476E+00
44,0.00000000000000E+00,3.53697288011509E+08,4.94736876869452E+00
45,0.00000000000000E+00,3.62131424879182E+08,5.06534192467943E+00
46,0.00000000000000E+00,3.70501425712534E+08,5.18241797281561E+00
47,0.00000000000000E+00,3.78800202780257E+08,5.29849777290126E+00
48,0.00000000000000E+00,3.87020616684619E+08,5.41348146204637E+00
49,0.00000000000000E+00,3.95155490618358E+08,5.52726865409217E+00
50,0.00000000000000E+00,4.03197624417048E+08,5.63975863616976E+00
51,0.00000000000000E+00,4.11139808398746E+08,5.75085056228313E+00
52,0.00000000000000E+00,4.18974836983022E+08,5.86044364380661E+00
53,0.00000000000000E+00,4.26695522081735E+08,5.96843733678923E+00
54,0.00000000000000E+00,4.34294706254000E+08,6.07473152596095E+00
55,0.00000000000000E+00,4.41765275617911E+08,6.17922670533641E+00
56,0.00000000000000E+00,4.49100172511616E+08,6.28182415531271E+00
57,0.00000000000000E+00,4.56292407896336E+08,6.38242611615756E+00
58,2.60000000000000E+04,4.63335073493926E+08,6.48093595778446E+00
59,2.60000000000000E+04,4.70221353651554E+08,6.57725834571077E+00
60,2.60000000000000E+04,4.76944536926052E+08,6.67129940309478E+00
61,2.60000000000000E+04,4.83498027380488E+08,6.76296686874738E+00
62,2.60000000000000E+04,4.89875355585486E+08,6.85217025101390E+00
63,2.60000000000000E+04,4.96070189317844E+08,6.93882097742186E+00
64,2.60000000000000E+04,4.96451165038905E+08,6.94414990542864E+00
65,2.60000000000000E+04,4.96831402191018E+08,6.94946850264390E+00
66,2.60000000000000E+04,4.97210899286527E+08,6.95477674825892E+00
67,2.60000000000000E+04,4.97589654840205E+08,6.96007462149898E+00
68,2.60000000000000E+04,4.97967667369249E+08,6.96536210162325E+00
69,2.60000000000000E+04,4.98344935393313E+08,6.97063916792526E+00
70,2.60000000000000E+04,4.98721457434497E+08,6.97590579973280E+00
71,2.60000000000000E+04,4.99097232017368E+08,6.98116197640810E+00
72,2.60000000000000E+04,4.99472257668962E+08,6.98640767734799E+00
73,2.99997256229373E+04,4.99846532918800E+08,6.99164288198399E+00
74,2.99997256229373E+04,5.00220056298890E+08,6.99686756978250E+00
75,2.99997256229373E+04,5.00592826343747E+08,7.00208172024488E+00
76,2.99998073505623E+04,5.00964841590384E+08,7.00728531290751E+00
77,2.99998735544222E+04,5.01336100578341E+08,7.01247832734210E+00
78,2.99999370149785E+04,5.01706601849686E+08,7.01766074315568E+00
79,3.00000000000000E+04,5.02076343949021E+08,7.02283253999078E+00
